iter	Logloss
0	0.5904006058
1	0.5178981386
2	0.4656349667
3	0.4260402975
4	0.3982614994
5	0.3740658948
6	0.3581602491
7	0.3416294142
8	0.3313491463
9	0.3220407265
10	0.3144997201
11	0.3092180657
12	0.3037266186
13	0.2996075052
14	0.2963707739
15	0.2934536899
16	0.2913745233
17	0.2898157928
18	0.2885515416
19	0.2866399049
20	0.2850028601
21	0.2838630346
22	0.2831730639
23	0.2823130037
24	0.2816210998
25	0.280441249
26	0.2794010392
27	0.2787575737
28	0.2783314191
29	0.277549315
30	0.2768910281
31	0.2763135076
32	0.2759518123
33	0.2754701843
34	0.2751331915
35	0.2746816898
36	0.2740777842
37	0.2738641072
38	0.2735675335
39	0.2731573818
40	0.272824327
41	0.2723560527
42	0.2720181828
43	0.2718301213
44	0.2716115216
45	0.2714236033
46	0.2711395061
47	0.2707131188
48	0.2705531966
49	0.2702926564
50	0.2699850739
51	0.2697985876
52	0.2694623466
53	0.2692905028
54	0.269106809
55	0.268956213
56	0.2685289306
57	0.2684094813
58	0.2681392569
59	0.2679107405
60	0.2678011006
61	0.2676992831
62	0.2675343847
63	0.2673919692
64	0.2672129473
65	0.2670723755
66	0.2669333969
67	0.2667139559
68	0.2663450646
69	0.2662104715
70	0.2660683245
71	0.265971197
72	0.2658931155
73	0.2657425731
74	0.265436369
75	0.2652993773
76	0.2652060983
77	0.2650333774
78	0.2649654096
79	0.2648993751
80	0.2646484474
81	0.2645611829
82	0.2642085273
83	0.2641231424
84	0.2639684114
85	0.2638263897
86	0.2636263886
87	0.2635321251
88	0.263403099
89	0.2633484491
90	0.263231846
91	0.2631375288
92	0.2630310573
93	0.2625493398
94	0.2624055638
95	0.2623294334
96	0.2622106643
97	0.2620959049
98	0.2619654289
99	0.2618764639
100	0.2617665197
101	0.2616732408
102	0.2615229133
103	0.2614896543
104	0.2613958384
105	0.2613415823
106	0.2612508631
107	0.2611345105
108	0.2610188024
109	0.2609160899
110	0.2608125361
111	0.2607430647
112	0.2606928541
113	0.2606490518
114	0.2604971312
115	0.260465537
116	0.2603255022
117	0.2602864077
118	0.2602007365
119	0.2601376197
120	0.2600562803
121	0.2599721842
122	0.2598335815
123	0.2597390495
124	0.2596843459
125	0.2595897602
126	0.259521327
127	0.2594957652
128	0.2594506204
129	0.2594077848
130	0.25928429
131	0.2592154451
132	0.2588928084
133	0.2588421502
134	0.258797095
135	0.2587246342
136	0.2585859956
137	0.2585238275
138	0.2584843751
139	0.2583762746
140	0.2582815278
141	0.2582401421
142	0.2580971716
143	0.258030081
144	0.2578067199
145	0.2577653878
146	0.2576788573
147	0.257510701
148	0.2573956731
149	0.2572709969
150	0.257166566
151	0.2570573199
152	0.2570124436
153	0.2569454603
154	0.2568476883
155	0.256735793
156	0.2566444473
157	0.2565774282
158	0.2565274682
159	0.2564330257
160	0.2563138628
161	0.2562446062
162	0.2562153748
163	0.2561370606
164	0.2560937953
165	0.2560526602
166	0.2559724486
167	0.2559231867
168	0.2558884062
169	0.255830767
170	0.2557737542
171	0.2557103331
172	0.2556572226
173	0.2555769573
174	0.2554177691
175	0.2553742711
176	0.2552706099
177	0.255204647
178	0.2551322757
179	0.2550816534
180	0.2550530127
181	0.2549604677
182	0.2548920345
183	0.2548060947
184	0.2547826452
185	0.2547517491
186	0.2547186692
187	0.2546567159
188	0.254630098
189	0.2546021734
190	0.2544501096
191	0.2543220322
192	0.2541954765
193	0.2541368885
194	0.2540738433
195	0.2540085247
196	0.2539488269
197	0.2539318574
198	0.2539075128
199	0.2538747193
200	0.253842069
201	0.2537740833
202	0.2537143139
203	0.2536213034
204	0.2535653289
205	0.2534989542
206	0.2534320784
207	0.2533868262
208	0.2533309232
209	0.2533029807
210	0.2531841221
211	0.2531373126
212	0.253090682
213	0.2530365512
214	0.2529887751
215	0.252867124
216	0.2528158394
217	0.2527315285
218	0.2526904292
219	0.2526635428
220	0.2525726446
221	0.2525172429
222	0.2524440482
223	0.2523849769
224	0.2523311504
225	0.2523127846
226	0.2521931921
227	0.2521399026
228	0.2520261993
229	0.2519786559
230	0.2519315957
231	0.2518680493
232	0.2517580693
233	0.2517075723
234	0.251670071
235	0.2516263045
236	0.2515633846
237	0.2515148924
238	0.2514635899
239	0.2514347345
240	0.2513229286
241	0.2512283608
242	0.2511497065
243	0.2511095201
244	0.2510581997
245	0.2510159548
246	0.2509833044
247	0.2509235529
248	0.2508885935
249	0.2508361453
250	0.2508039604
251	0.2507309447
252	0.2507081933
253	0.25063618
254	0.2505623946
255	0.2505300665
256	0.2504379331
257	0.2504107961
258	0.2503678173
259	0.2502983101
260	0.2502196915
261	0.2501883658
262	0.2501548205
263	0.2500955344
264	0.2500496915
265	0.2499736148
266	0.2499231894
267	0.2498892682
268	0.2498649952
269	0.2498112224
270	0.2497733273
271	0.2497439886
272	0.2496686637
273	0.2496068536
274	0.2495554795
275	0.2495009191
276	0.2494875296
277	0.249438035
278	0.2494203136
279	0.2493860344
280	0.2493597745
281	0.2493265693
282	0.2492874032
283	0.2492307485
284	0.2491980265
285	0.2491482456
286	0.2491148792
287	0.2490500082
288	0.2490058479
289	0.2489879296
290	0.2489329933
291	0.248862072
292	0.2488357584
293	0.2487929227
294	0.2487217866
295	0.2486770893
296	0.2486505072
297	0.2486284718
298	0.2486040736
299	0.2485810895
300	0.2485484749
301	0.2484755666
302	0.2484347537
303	0.2484089414
304	0.2483768281
305	0.248346469
306	0.248302255
307	0.2482427183
308	0.2482121802
309	0.2481767375
310	0.2481065321
311	0.2480492151
312	0.2479933121
313	0.2478994783
314	0.2478900806
315	0.2478637849
316	0.2477998805
317	0.2477567942
318	0.247689256
319	0.2476221833
320	0.2475529266
321	0.2475092318
322	0.24748188
323	0.2474625296
324	0.2473951168
325	0.2473811545
326	0.2473192728
327	0.2472514124
328	0.2472127117
329	0.2471754968
330	0.2471107869
331	0.2470506416
332	0.2469834972
333	0.2469537646
334	0.2468953378
335	0.2468721388
336	0.2468232887
337	0.2467997139
338	0.2467657747
339	0.2467240668
340	0.2466611827
341	0.246636695
342	0.2465916576
343	0.2465435771
344	0.2465122693
345	0.246470812
346	0.2464183102
347	0.2463809699
348	0.2463402823
349	0.2462887113
350	0.2462027894
351	0.2461553892
352	0.2460754281
353	0.2459982058
354	0.2459574466
355	0.245944612
356	0.2459122302
357	0.2458996641
358	0.2458624671
359	0.2458117195
360	0.2457861577
361	0.2457571591
362	0.2457196399
363	0.2456763925
364	0.2456180193
365	0.2455856196
366	0.2455426408
367	0.2454821195
368	0.2454326429
369	0.2453870864
370	0.2453668589
371	0.2453400978
372	0.2453032946
373	0.2452674759
374	0.2452407685
375	0.245209783
376	0.2451805158
377	0.2451410991
378	0.2451035978
379	0.2450641632
380	0.2450435778
381	0.2449780086
382	0.2449313602
383	0.2448904936
384	0.2448546391
385	0.2448200198
386	0.2447742485
387	0.2447521594
388	0.2447158932
389	0.2446553898
390	0.2446139325
391	0.2445795459
392	0.2445651898
393	0.2445514423
394	0.2445355825
395	0.2444941789
396	0.244442769
397	0.2443933639
398	0.2443541799
399	0.244249391
400	0.2442214127
401	0.2441410041
402	0.2441180021
403	0.2440947137
404	0.2440479579
405	0.2439879916
406	0.2439700554
407	0.2439080842
408	0.2438703323
409	0.2438344957
410	0.2438035101
411	0.2437795594
412	0.2437399995
413	0.243696967
414	0.2436725508
415	0.2436529499
416	0.2436387012
417	0.2435982463
418	0.2435467826
419	0.2434909692
420	0.2434488854
421	0.2434271006
422	0.2434032573
423	0.2433800405
424	0.2433455822
425	0.2433178187
426	0.2433071143
427	0.2432826623
428	0.2432348504
429	0.2431744544
430	0.2431632846
431	0.2431502889
432	0.2431030856
433	0.2430588716
434	0.2430267225
435	0.2429840122
436	0.2429585041
