iter	Passed	Remaining
0	1094	546235
1	2189	545241
2	3268	541502
3	4278	530592
4	5230	517830
5	6323	520624
6	7366	518784
7	8400	516633
8	9454	515812
9	10524	515691
10	11621	516613
11	12789	520101
12	13796	516852
13	15120	524890
14	16462	532276
15	17444	527704
16	18336	520970
17	19541	523289
18	21063	533246
19	22297	535139
20	23545	537058
21	24592	534322
22	25747	533989
23	26837	532270
24	28145	534770
25	29307	534304
26	30386	532319
27	31565	532112
28	32727	531543
29	34103	534293
30	35148	531758
31	36302	530927
32	37361	528719
33	38634	529521
34	39834	529224
35	40872	526802
36	42237	528541
37	43292	526341
38	44605	527262
39	45714	525712
40	46798	523917
41	47705	520214
42	48994	520708
43	50045	518652
44	51092	516606
45	51997	513188
46	53207	512826
47	54392	512191
48	55197	508045
49	56488	508392
50	57647	507526
51	58777	506394
52	59837	504663
53	60880	502824
54	61924	501028
55	63167	500827
56	64239	499262
57	65410	498475
58	66381	496177
59	67586	495634
60	68613	493793
61	69734	492639
62	70738	490679
63	71698	488445
64	72707	486581
65	73814	485388
66	74927	484233
67	75980	482698
68	77292	482797
69	78384	481504
70	79370	479577
71	80503	478545
72	81884	478969
73	83110	478449
74	84142	476805
75	84948	473920
76	85985	472361
77	87064	471041
78	88418	471192
79	89341	469043
80	90537	468337
81	91518	466523
82	92572	465091
83	93562	463358
84	94642	462075
85	95522	459840
86	96776	459412
87	97544	456687
88	98559	455143
89	99513	453341
90	100432	451394
91	101398	449679
92	102582	448937
93	103766	448183
94	104792	446746
95	105713	444876
96	106740	443469
97	107625	441482
98	108654	440104
99	109762	439049
100	110714	437376
101	111745	436025
102	112740	434542
103	113882	433629
104	115201	433378
105	116332	432404
106	117448	431376
107	118358	429598
108	119235	427715
109	120178	426088
110	121107	424420
111	121853	422134
112	122680	420152
113	123718	418907
114	124727	417565
115	125711	416150
116	126715	414803
117	127451	412597
118	128488	411378
119	129512	410122
120	130677	409313
121	131891	408648
122	132932	407441
123	134008	406349
124	134816	404449
125	135831	403181
126	136721	401550
127	137579	399841
128	138417	398085
129	139292	396446
130	140392	395457
